,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,Card Type,Point Earned
312,642,France,Male,38,3,0.0,2,0,0,171463.83,0,0,2,GOLD,737
5853,596,Germany,Male,40,5,62389.03,3,1,0,148623.43,1,1,5,GOLD,791
1157,700,Spain,Male,54,1,79415.67,1,0,1,139735.54,0,0,5,PLATINUM,546
7199,649,Spain,Female,32,7,0.0,1,1,0,28797.32,0,0,4,PLATINUM,537
9714,726,Spain,Female,56,2,105473.74,1,1,1,46044.7,0,0,1,PLATINUM,747
2559,567,Germany,Female,40,2,105222.86,2,1,0,93795.86,0,0,1,SILVER,975
835,559,France,Male,34,2,137390.11,2,1,0,9677.0,0,0,4,PLATINUM,796
5186,639,France,Male,32,9,0.0,2,1,0,111340.36,0,0,4,GOLD,846
6807,562,France,Male,36,6,0.0,2,1,0,32845.32,0,0,1,DIAMOND,504
4819,613,France,Male,26,4,100446.57,1,0,1,149653.81,0,0,1,DIAMOND,292
7341,850,Spain,Male,54,7,108185.81,2,0,0,24093.4,1,1,3,PLATINUM,431
8035,577,France,Female,30,8,92472.1,2,0,1,126434.61,0,0,4,SILVER,569
3867,530,France,Male,39,2,0.0,2,1,0,197923.05,0,0,4,SILVER,296
3974,761,Spain,Male,27,8,0.0,2,1,0,63297.7,0,0,5,SILVER,494
4051,793,France,Female,63,9,116270.72,1,1,1,184243.25,0,0,3,DIAMOND,236
3384,775,France,Female,66,9,0.0,2,1,1,67622.34,0,0,3,PLATINUM,826
5555,614,Spain,Female,39,6,0.0,2,1,1,164018.98,0,0,2,SILVER,253
9721,560,France,Female,38,5,83714.41,1,1,1,33245.97,0,0,4,SILVER,289
6197,581,Germany,Female,54,2,152508.99,1,1,0,187597.98,1,1,1,SILVER,783
1956,565,France,Male,55,4,118803.35,2,1,1,128124.7,1,1,2,GOLD,535
254,696,Spain,Male,28,8,0.0,1,0,0,176713.47,0,0,3,SILVER,671
9712,637,France,Male,32,3,0.0,2,1,1,197827.06,0,0,5,SILVER,704
1706,719,Spain,Male,38,0,0.0,1,1,0,126876.47,0,0,1,SILVER,954
6952,659,France,Female,37,1,151105.68,1,1,1,140934.57,0,0,5,SILVER,781
9184,695,Spain,Female,56,4,0.0,2,1,0,84644.76,0,0,4,GOLD,736
5369,575,Spain,Male,52,8,123925.23,1,0,0,111342.66,1,1,4,PLATINUM,650
5692,573,France,Female,30,6,0.0,2,1,0,66190.21,0,0,2,PLATINUM,546
9246,762,France,Male,20,1,139432.55,1,1,1,85606.83,0,0,5,GOLD,415
1991,626,Germany,Male,36,2,181671.16,2,1,1,57531.14,0,0,1,DIAMOND,267
1049,631,Germany,Male,40,3,107949.45,1,1,0,52449.62,1,1,4,DIAMOND,728
3172,665,Germany,Male,32,1,132178.67,1,0,0,11865.76,0,0,1,GOLD,274
3416,532,France,Male,38,9,0.0,2,0,0,30583.95,0,0,2,PLATINUM,396
6470,583,Germany,Female,41,5,77647.6,1,1,0,190429.52,0,0,2,DIAMOND,866
467,816,Germany,Female,38,5,130878.75,3,1,0,71905.77,1,1,4,GOLD,961
7042,544,France,Male,44,1,0.0,2,0,0,69244.24,0,0,2,GOLD,926
2402,531,France,Male,31,3,96288.26,1,1,0,56794.73,0,0,4,DIAMOND,247
9931,850,France,Female,34,6,101266.51,1,1,0,33501.98,0,0,1,DIAMOND,901
9952,724,Germany,Male,37,6,125489.4,1,1,0,118570.53,0,0,4,SILVER,880
9986,673,Germany,Male,47,1,183579.54,2,0,1,34047.54,0,0,5,PLATINUM,772
6862,586,France,Male,33,9,0.0,1,1,0,6975.02,0,0,5,DIAMOND,871
8879,809,France,Male,43,2,0.0,2,1,1,132908.07,0,0,1,PLATINUM,706
6623,581,France,Male,28,3,104367.5,1,1,1,29937.75,0,0,1,DIAMOND,470
5364,812,Germany,Male,33,2,127154.14,2,0,1,105383.49,0,0,1,SILVER,344
5340,680,Spain,Male,42,0,0.0,1,1,0,136377.21,0,0,3,DIAMOND,821
6725,603,Germany,Female,40,8,148897.02,1,0,0,105052.9,0,0,1,DIAMOND,352
3140,653,Spain,Male,30,4,0.0,2,1,0,120736.04,0,0,5,DIAMOND,739
6825,529,Spain,Female,44,1,0.0,2,0,0,14161.3,0,0,4,DIAMOND,786
7404,733,France,Male,39,1,0.0,2,1,1,141841.31,0,0,5,SILVER,367
1188,528,France,Male,30,2,128262.72,2,1,0,50771.16,0,0,2,PLATINUM,791
653,459,Germany,Male,48,4,133994.52,1,1,1,19287.06,1,1,5,DIAMOND,661
8100,663,France,Male,40,6,156218.19,1,0,1,33607.72,0,0,5,SILVER,375
8817,558,Spain,Male,40,4,161766.87,1,0,0,92378.54,0,0,2,DIAMOND,628
1947,688,France,Male,52,1,0.0,2,1,1,172033.57,0,0,1,DIAMOND,635
5880,537,France,Male,28,0,88963.31,2,1,1,189839.93,0,0,5,SILVER,561
6345,754,France,Female,35,4,0.0,2,1,0,44830.71,0,0,1,GOLD,992
284,799,France,Female,22,8,174185.98,2,0,1,192633.85,0,0,3,PLATINUM,219
4793,788,France,Female,41,6,0.0,1,1,1,25571.37,0,0,2,SILVER,718
5080,731,France,Male,29,10,0.0,2,1,1,162452.65,0,0,4,SILVER,251
2932,688,France,Female,54,9,0.0,1,1,0,191212.63,1,1,5,GOLD,746
8366,637,France,Male,41,2,0.0,2,0,1,102515.42,0,0,4,GOLD,325
6146,738,Spain,Female,33,3,122134.4,2,0,1,27867.59,0,0,4,SILVER,298
2582,656,France,Female,46,5,113402.14,2,1,1,138849.06,0,0,4,SILVER,605
7563,609,France,Male,53,7,0.0,2,0,1,52332.85,0,0,5,SILVER,295
7724,842,France,Male,44,3,141252.18,4,0,1,128521.16,1,1,5,PLATINUM,741
1045,588,Spain,Male,34,6,121132.26,2,1,0,86460.28,0,0,3,DIAMOND,468
5830,684,Germany,Male,37,4,138476.41,2,1,1,52367.29,0,0,3,SILVER,369
2737,472,France,Male,31,4,58662.92,2,0,1,73322.0,0,0,1,GOLD,437
3385,735,France,Male,41,7,74135.85,1,1,1,11783.1,1,1,2,GOLD,750
277,777,France,Female,53,10,0.0,2,1,0,189992.97,0,0,2,PLATINUM,306
4551,651,Spain,Female,46,4,89743.05,1,1,0,156425.57,1,1,5,PLATINUM,860
9990,714,Germany,Male,33,3,35016.6,1,1,0,53667.08,0,0,3,GOLD,791
3843,783,Spain,Male,38,1,0.0,3,1,1,80178.54,1,1,3,SILVER,534
5525,624,France,Male,51,10,123401.43,2,1,1,127825.25,0,0,4,SILVER,242
7302,491,France,Female,72,6,91285.22,1,1,1,7032.95,0,0,3,GOLD,277
3082,483,France,Female,44,5,136836.49,1,1,0,192359.9,1,1,1,SILVER,853
8257,571,France,Male,40,5,0.0,2,0,0,72849.29,0,0,2,SILVER,557
7083,665,Spain,Female,32,10,0.0,1,1,1,22487.45,0,0,4,PLATINUM,709
682,651,Germany,Female,41,4,133432.59,1,0,1,151303.48,0,0,3,SILVER,807
4019,620,Spain,Male,31,2,166833.86,2,1,1,135171.6,0,0,1,PLATINUM,312
9192,801,Spain,Male,58,1,79954.61,2,1,1,30484.19,0,0,1,GOLD,760
2661,742,France,Female,28,2,191864.51,1,1,0,108457.99,1,1,5,SILVER,489
534,550,France,Female,40,7,114354.95,1,1,0,54018.93,0,0,1,GOLD,951
1306,823,Spain,Female,46,3,81576.75,1,1,1,28370.95,1,1,1,SILVER,621
3008,779,France,Male,62,10,119096.55,1,0,1,116977.89,0,0,1,GOLD,644
9974,583,France,Male,33,7,122531.86,1,1,0,13549.24,0,0,1,SILVER,313
9868,718,France,Female,43,0,93143.39,1,1,0,167554.86,0,0,3,DIAMOND,491
7856,580,Germany,Female,33,7,131647.01,2,0,0,79775.19,0,0,2,PLATINUM,769
117,506,France,Female,41,1,0.0,2,1,0,31766.3,0,0,4,GOLD,594
2482,567,Spain,Male,40,4,118628.8,1,0,0,91973.63,0,0,1,PLATINUM,892
9607,674,France,Male,28,5,0.0,1,1,1,151925.25,0,0,3,GOLD,377
5810,495,Spain,Female,42,7,0.0,2,0,0,130404.53,0,0,3,GOLD,621
1770,725,Spain,Female,36,4,118520.26,1,0,0,131173.9,1,1,1,PLATINUM,663
5666,636,Spain,Male,60,7,124447.73,1,1,1,141364.62,1,1,2,DIAMOND,359
9348,664,France,Female,34,7,93920.47,1,0,0,179913.98,0,0,1,PLATINUM,503
4079,583,France,Female,31,4,158978.79,1,1,0,12538.92,0,0,4,DIAMOND,862
9833,699,Germany,Female,41,1,200117.76,2,1,0,94142.35,0,0,2,SILVER,706
1315,607,Spain,Female,27,5,100912.19,1,0,0,7631.27,0,0,4,GOLD,908
2894,531,France,Male,31,3,0.0,1,1,1,42589.33,0,0,1,DIAMOND,241
6694,651,Germany,Male,37,9,114453.58,1,0,1,175820.91,0,0,4,SILVER,403
9428,737,France,Female,70,9,87542.89,2,1,1,42576.86,0,0,4,DIAMOND,631
4259,790,Spain,Female,37,3,0.0,3,0,0,98897.32,0,0,3,PLATINUM,772
548,508,France,Male,49,7,122451.46,2,1,1,75808.1,0,0,3,GOLD,881
7109,670,France,Female,39,8,101928.51,1,0,0,89205.54,0,0,5,DIAMOND,290
5061,633,France,Female,42,1,0.0,2,1,0,56865.62,0,0,2,SILVER,930
6647,713,France,Female,37,8,0.0,1,1,1,16403.41,0,0,2,GOLD,444
5218,685,France,Male,20,4,104719.94,2,1,0,38691.34,0,0,5,DIAMOND,909
8066,504,Germany,Male,43,5,134740.19,2,1,0,181430.91,0,0,1,SILVER,640
4305,692,France,Female,31,2,0.0,2,1,0,91829.17,1,1,4,SILVER,720
5979,677,France,Female,24,0,148298.59,2,0,0,182913.95,0,0,5,SILVER,339
5502,614,Spain,Female,40,3,113348.5,1,1,1,77789.01,0,0,5,PLATINUM,407
6276,554,Germany,Female,54,6,108755.0,1,1,0,40914.32,1,1,1,DIAMOND,415
6179,591,Germany,Female,34,4,150635.3,1,1,1,72274.84,0,0,5,PLATINUM,940
4582,501,France,Male,37,4,0.0,2,0,0,12470.3,0,0,4,GOLD,453
5817,613,Germany,Male,69,9,78778.49,1,0,1,8751.59,0,0,2,GOLD,680
9728,616,Germany,Female,43,7,95984.21,1,0,1,115262.54,1,1,1,GOLD,564
9122,689,France,Female,29,1,77556.79,2,1,1,122998.26,0,0,2,SILVER,693
7488,538,Germany,Female,42,4,80380.24,1,1,0,119216.46,0,0,1,DIAMOND,374
8071,609,France,Male,48,1,108019.27,3,1,1,184524.65,1,1,5,PLATINUM,559
3512,806,Spain,Male,18,3,0.0,2,1,1,86994.54,0,0,2,GOLD,768
2587,563,France,Male,33,8,0.0,2,0,1,68815.05,0,0,5,PLATINUM,983
5510,588,Germany,Female,48,1,143279.58,2,1,0,31580.8,1,1,2,PLATINUM,914
3434,692,France,Male,66,4,159732.02,1,1,1,118188.15,0,0,4,GOLD,273
433,545,Germany,Female,37,8,114754.08,1,1,0,136050.44,1,1,5,GOLD,958
1487,710,Spain,Female,51,4,93656.95,1,0,1,141400.51,1,1,5,DIAMOND,933
9076,666,France,Female,27,1,85225.21,1,0,1,64511.44,0,0,4,SILVER,871
8161,588,France,Male,31,4,99607.37,2,0,1,35877.03,0,0,2,DIAMOND,842
8985,664,Spain,Male,41,7,123428.69,1,1,1,164924.11,0,0,2,PLATINUM,315
9319,529,France,Female,27,1,0.0,2,1,1,37769.98,0,0,5,PLATINUM,333
6114,627,France,Female,44,5,0.0,2,1,0,82969.61,1,1,5,SILVER,396
2934,631,France,Male,33,7,0.0,1,1,1,58043.02,1,1,2,SILVER,715
2017,728,Spain,Female,37,4,0.0,1,0,0,4539.38,0,0,2,DIAMOND,521
72,657,Spain,Female,37,0,163607.18,1,0,1,44203.55,0,0,2,GOLD,979
4042,738,Spain,Male,38,5,177997.07,1,0,1,19233.41,0,0,5,PLATINUM,799
9778,732,France,Female,43,9,0.0,2,1,0,183147.17,0,0,4,GOLD,292
7720,693,France,Male,68,2,0.0,2,1,1,59864.96,0,0,3,PLATINUM,290
7129,850,Spain,Male,33,3,100476.46,2,1,1,136539.13,0,0,1,GOLD,590
8351,585,France,Female,30,6,0.0,2,1,1,137757.69,0,0,5,PLATINUM,874
6696,567,France,Female,48,3,0.0,1,1,0,55362.45,0,0,5,DIAMOND,546
3160,591,France,Male,28,5,0.0,2,1,1,48606.92,0,0,4,SILVER,916
8176,702,France,Male,40,3,148556.74,1,0,1,146056.29,0,0,2,SILVER,489
5440,690,Germany,Male,43,2,166522.78,1,0,0,119644.59,1,1,4,DIAMOND,834
4738,702,France,Female,40,1,103549.24,1,0,0,9712.52,1,1,3,DIAMOND,804
7372,683,Spain,Male,34,9,114609.55,2,0,1,25339.29,0,0,5,DIAMOND,739
5079,427,France,Male,37,5,0.0,2,1,1,121485.1,0,0,2,PLATINUM,869
3042,835,Germany,Female,29,10,130420.2,2,0,0,106276.55,0,0,5,DIAMOND,349
5116,741,Germany,Male,38,4,128015.83,1,1,0,58440.43,0,0,2,GOLD,792
6739,509,France,Male,55,8,132387.91,2,1,1,170360.11,0,0,1,PLATINUM,913
2377,549,France,Male,50,9,94748.76,2,0,1,13608.18,0,0,1,GOLD,291
9734,667,Germany,Male,70,3,77356.92,2,1,1,20881.96,0,0,2,GOLD,681
6789,668,France,Male,46,0,0.0,2,0,0,29388.02,0,0,1,PLATINUM,419
9090,809,France,Female,39,5,0.0,1,1,0,77705.75,0,0,5,DIAMOND,754
7944,520,France,Female,39,1,73493.17,1,0,1,109626.13,1,1,2,SILVER,721
8995,573,Spain,Male,28,8,0.0,2,0,0,77660.03,0,0,4,PLATINUM,668
4191,679,France,Male,36,1,97234.58,1,1,0,188997.08,0,0,1,DIAMOND,597
3439,746,France,Male,36,7,142400.77,1,1,1,193438.69,0,0,4,DIAMOND,452
1558,571,France,Female,35,1,104783.81,2,0,1,178512.52,0,0,2,GOLD,350
6675,654,Spain,Female,36,5,0.0,2,0,0,157238.05,0,0,2,SILVER,596
3339,599,Spain,Female,28,4,126833.79,2,1,0,60843.09,1,1,5,PLATINUM,252
3191,590,France,Male,32,5,0.0,2,1,0,59249.83,0,0,4,GOLD,676
778,754,France,Male,28,8,0.0,2,1,1,52615.62,0,0,4,DIAMOND,497
4956,660,Spain,Male,33,2,80462.24,1,0,0,150422.35,0,0,2,DIAMOND,652
8625,747,France,Male,43,1,130788.71,1,0,1,101495.0,1,1,4,PLATINUM,292
8144,571,France,Male,34,1,99325.04,2,0,1,186052.15,0,0,3,DIAMOND,922
4826,794,France,Male,24,10,146126.75,1,1,1,88992.05,0,0,1,GOLD,431
8739,518,France,Male,59,5,138772.15,1,0,1,123872.0,0,0,4,PLATINUM,968
933,512,Spain,Male,36,1,0.0,1,0,1,135482.26,1,1,4,PLATINUM,795
5556,606,France,Male,40,6,119501.88,2,1,0,46774.94,0,0,3,SILVER,313
6816,559,France,Male,50,5,162702.35,1,0,0,150548.5,1,1,3,DIAMOND,815
6230,592,France,Male,71,4,0.0,2,0,1,17013.54,0,0,3,PLATINUM,302
6946,418,France,Male,36,7,90145.04,1,1,1,69157.93,0,0,5,SILVER,995
5323,622,France,Male,32,5,179305.09,1,1,1,149043.78,0,0,4,GOLD,383
3320,712,France,Male,24,2,0.0,1,0,1,121232.51,0,0,5,GOLD,264
348,654,Germany,Female,32,1,114510.85,1,1,1,126143.23,0,0,4,GOLD,224
6939,570,France,Female,43,9,0.0,2,0,1,11417.26,0,0,5,SILVER,236
9364,607,France,Female,49,9,119960.29,2,1,0,103068.22,0,0,2,PLATINUM,768
9867,787,France,Male,32,4,0.0,2,1,1,13238.93,0,0,2,PLATINUM,643
8359,657,Spain,Female,22,6,0.0,3,0,1,168412.07,1,1,5,DIAMOND,974
8434,512,Germany,Male,41,7,122403.24,1,0,1,37439.9,1,1,2,DIAMOND,681
7669,631,Spain,Male,38,7,0.0,2,1,0,181605.85,0,0,3,DIAMOND,290
4207,656,France,Male,37,7,112291.34,1,1,0,153157.97,0,0,5,SILVER,722
4674,850,Germany,Male,41,1,176958.46,2,0,1,125806.3,0,0,2,GOLD,751
2709,592,France,Male,37,4,212692.97,1,0,0,176395.02,0,0,1,GOLD,232
9004,708,Spain,Male,33,3,0.0,2,1,0,138613.21,0,0,5,DIAMOND,729
728,673,France,Female,40,5,137494.28,1,1,0,81753.92,0,0,1,SILVER,748
7062,597,France,Female,41,4,145809.53,2,1,1,52319.26,0,0,5,SILVER,447
593,630,Spain,Male,32,4,82034.0,1,0,0,146326.45,0,0,5,GOLD,708
5194,696,France,Male,27,4,87637.26,2,0,0,196111.35,0,0,5,GOLD,685
2660,767,France,Female,44,2,152509.25,1,1,1,136915.15,0,0,4,GOLD,777
5315,683,France,Male,36,5,115350.63,1,1,1,122305.91,0,0,5,DIAMOND,398
2323,583,France,Male,51,6,125268.03,2,1,0,165082.25,0,0,4,PLATINUM,837
6597,558,France,Male,32,5,73494.21,1,0,0,136301.1,0,0,3,DIAMOND,655
1524,796,France,Male,51,6,0.0,2,0,1,194733.28,0,0,1,PLATINUM,804
8961,603,France,Male,44,9,0.0,1,1,0,138328.24,0,0,5,DIAMOND,696
7067,746,France,Female,24,4,0.0,1,0,1,94105.0,0,0,5,PLATINUM,334
9896,795,France,Female,40,2,101891.1,1,1,1,183044.86,0,0,4,GOLD,461
6307,583,Germany,Male,27,4,105907.42,2,1,1,195732.04,0,0,5,PLATINUM,267
6648,437,France,Female,26,1,120923.52,1,0,1,78854.57,0,0,2,GOLD,310
9085,690,France,Female,42,5,0.0,2,0,1,120512.08,0,0,4,PLATINUM,915
4633,477,Germany,Male,48,8,129250.0,2,1,1,157937.35,0,0,1,PLATINUM,885
7368,850,Germany,Female,36,3,169025.83,1,1,0,174235.06,0,0,4,GOLD,492
2986,570,Germany,Male,42,0,107856.57,2,1,0,127528.84,0,0,3,PLATINUM,628
8458,850,France,Female,71,4,0.0,2,1,1,107236.87,0,0,3,PLATINUM,518
6890,490,France,Male,39,1,0.0,3,1,0,171060.01,1,1,3,PLATINUM,506
3857,636,France,Female,45,7,139859.23,1,1,1,108402.54,0,0,3,GOLD,393
3419,674,France,Female,26,10,0.0,2,1,1,138423.1,0,0,1,PLATINUM,664
4687,769,France,Male,48,2,96542.16,2,0,1,197885.72,0,0,3,DIAMOND,827
8021,512,France,Female,41,6,0.0,1,1,1,100507.81,0,0,3,PLATINUM,920
8392,739,Germany,Male,32,3,102128.27,1,1,0,63981.37,1,1,2,DIAMOND,979
3668,666,Germany,Female,44,2,122314.5,1,0,0,68574.88,1,1,5,GOLD,837
1912,687,Germany,Female,29,4,78939.15,1,1,0,122134.56,1,1,4,SILVER,892
1289,672,Germany,Male,40,10,102980.44,1,1,0,1285.81,1,1,2,SILVER,568
597,646,Germany,Male,39,9,111574.41,1,1,1,30838.51,0,0,2,PLATINUM,525
5287,635,Spain,Female,38,1,0.0,2,1,0,90605.05,0,0,4,GOLD,399
3236,673,Spain,Female,32,0,0.0,1,1,1,72873.33,0,0,4,GOLD,726
1853,730,France,Female,41,4,167545.32,1,1,0,128246.81,0,0,3,DIAMOND,474
3166,555,Germany,Male,62,4,119817.33,1,0,1,43507.1,1,1,2,GOLD,697
2517,592,Germany,Male,36,2,104702.65,2,1,0,107948.72,0,0,3,PLATINUM,757
7778,583,Spain,Female,22,2,0.0,2,0,1,5985.36,0,0,5,DIAMOND,307
8627,639,France,Female,42,4,0.0,2,0,0,167682.37,0,0,2,GOLD,968
1026,628,France,Male,33,6,0.0,2,0,0,184230.23,0,0,3,SILVER,529
5370,682,France,Male,41,6,0.0,2,0,1,134158.09,1,1,1,DIAMOND,826
2698,586,France,Female,28,5,0.0,3,1,0,170487.4,1,1,2,PLATINUM,471
7212,711,France,Female,25,5,190066.54,1,0,0,51345.39,1,1,5,GOLD,303
8465,598,France,Female,40,2,171178.25,1,1,0,137980.58,1,1,1,SILVER,949
918,784,Spain,Male,35,3,0.0,2,0,0,81483.64,0,0,2,PLATINUM,469
3629,671,France,Female,48,8,115713.84,2,0,0,83210.84,0,0,2,PLATINUM,759
1124,606,Spain,Male,35,7,0.0,1,1,0,106837.06,1,1,5,SILVER,418
7234,512,Spain,Female,35,5,124580.69,1,1,1,18785.48,0,0,2,SILVER,428
5164,642,France,Male,36,4,0.0,2,1,1,195224.91,0,0,2,PLATINUM,289
138,584,Spain,Female,48,2,213146.2,1,1,0,75161.25,1,0,4,DIAMOND,814
5000,834,Germany,Female,68,9,130169.27,2,0,1,93112.2,0,0,5,GOLD,882
2896,782,France,Female,33,2,94493.03,1,0,1,101866.39,0,0,3,PLATINUM,324
4863,464,France,Female,33,10,147493.7,2,1,0,100447.53,0,0,4,DIAMOND,801
5753,760,Spain,Female,41,6,0.0,2,0,0,101491.23,0,0,4,SILVER,873
1443,556,France,Female,43,6,0.0,3,0,0,125154.57,1,1,4,GOLD,877
698,746,Spain,Male,36,2,0.0,2,1,1,16436.56,0,0,5,DIAMOND,718
1071,695,Germany,Male,52,8,103023.26,1,1,1,22485.64,0,0,2,GOLD,282
8050,707,France,Male,33,2,0.0,2,0,0,130866.95,0,0,4,GOLD,993
6273,743,Spain,Male,43,2,161807.18,2,0,1,93228.86,1,1,5,GOLD,973
6857,546,Germany,Female,52,1,106074.89,1,1,1,23548.45,1,1,3,PLATINUM,579
7330,418,France,Male,34,8,155973.88,1,1,0,154208.96,0,0,4,GOLD,777
8064,714,Spain,Male,29,9,0.0,2,1,0,129192.55,0,0,3,DIAMOND,323
500,555,Spain,Male,32,4,0.0,2,1,1,54405.79,0,0,4,DIAMOND,850
7411,626,Germany,Female,23,6,85897.95,1,1,0,109742.8,0,0,2,SILVER,906
9363,634,Spain,Male,35,3,0.0,2,1,1,19515.48,0,0,2,SILVER,332
2440,701,Spain,Male,59,7,0.0,2,0,1,27597.59,0,0,4,SILVER,387
8523,690,Germany,Female,54,1,144027.8,1,1,1,108731.02,1,1,5,SILVER,480
9189,607,Germany,Male,32,9,144272.07,2,1,0,176580.63,0,0,3,GOLD,797
349,582,France,Male,39,5,0.0,2,1,1,129892.93,0,0,4,DIAMOND,343
2870,707,France,Female,55,1,0.0,2,0,1,54409.48,0,0,5,GOLD,709
7844,612,France,Female,38,1,0.0,2,1,1,9209.21,0,0,2,SILVER,673
7203,657,France,Male,33,1,84309.57,2,0,0,103914.4,0,0,2,SILVER,772
3966,815,France,Male,35,4,0.0,2,0,1,198490.33,0,0,2,DIAMOND,680
2189,480,France,Male,35,2,165692.91,1,1,1,197984.58,0,0,5,GOLD,592
5263,809,Germany,Male,41,1,79706.25,2,1,0,165675.01,0,0,5,DIAMOND,464
6044,684,France,Male,46,0,0.0,2,1,1,36376.97,0,0,3,GOLD,784
6282,521,France,Male,22,5,0.0,2,1,1,99828.45,0,0,1,PLATINUM,782
3359,739,Spain,Male,60,4,0.0,1,1,1,51637.67,0,0,1,DIAMOND,457
2866,727,France,Female,26,9,121508.28,1,1,1,146785.44,0,0,1,PLATINUM,253
2511,679,Germany,Female,34,7,121063.85,1,1,0,56984.58,0,0,1,GOLD,564
6572,588,France,Female,21,8,0.0,2,1,1,110114.19,0,0,5,PLATINUM,834
2705,655,Spain,Female,34,4,109783.69,2,1,0,134034.32,0,0,1,PLATINUM,985
647,578,France,Male,38,7,82259.29,1,1,0,8996.97,0,0,1,DIAMOND,325
8403,844,France,Female,28,4,0.0,2,0,1,123318.37,0,0,4,PLATINUM,302
9950,625,Germany,Female,39,10,129845.26,1,1,1,96444.88,0,0,5,GOLD,615
1417,607,Germany,Female,24,2,109483.54,2,0,1,127560.77,0,0,3,GOLD,260
7946,473,France,Female,35,6,69617.36,1,1,0,143345.69,0,0,1,PLATINUM,959
6480,679,France,Female,24,6,114948.76,2,0,1,135768.25,0,0,4,GOLD,471
